2020-03-31 22:33:14.789295- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Gibraltar'), kwargs: {}, result: https://en.wikipedia.org/wiki/Gibraltar
2020-03-31 22:33:15.562283- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guinea'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guinea
2020-03-31 22:33:16.332719- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guadeloupe'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guadeloupe
2020-03-31 22:33:16.818381- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Gambia'), kwargs: {}, result: https://en.wikipedia.org/wiki/The_Gambia
2020-03-31 22:33:17.381283- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guinea-Bissau'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guinea-Bissau
2020-03-31 22:33:17.991144- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Equatorial Guinea'), kwargs: {}, result: https://en.wikipedia.org/wiki/Equatorial_Guinea
2020-03-31 22:33:19.350694- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Greece'), kwargs: {}, result: https://en.wikipedia.org/wiki/Greece
2020-03-31 22:33:21.724881- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Grenada'), kwargs: {}, result: https://en.wikipedia.org/wiki/Grenada
2020-03-31 22:33:22.318678- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Greenland'), kwargs: {}, result: https://en.wikipedia.org/wiki/Greenland
2020-03-31 22:33:22.932231- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guatemala'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guatemala
2020-03-31 22:33:23.576212- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'French Guiana'), kwargs: {}, result: https://en.wikipedia.org/wiki/French_Guiana
2020-03-31 22:33:24.180392- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guam'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guam
2020-03-31 22:33:24.820489- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Guyana'), kwargs: {}, result: https://en.wikipedia.org/wiki/Guyana
2020-03-31 22:33:25.622176- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Hong Kong'), kwargs: {}, result: https://en.wikipedia.org/wiki/Hong_Kong
2020-03-31 22:33:26.338898- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Heard Island and McDonald Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
2020-03-31 22:33:26.849478- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Honduras'), kwargs: {}, result: https://en.wikipedia.org/wiki/Honduras
2020-03-31 22:33:27.467093- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Croatia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Croatia
2020-03-31 22:33:28.240128- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Haiti'), kwargs: {}, result: https://en.wikipedia.org/wiki/Haiti
2020-03-31 22:33:28.975546- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Hungary'), kwargs: {}, result: https://en.wikipedia.org/wiki/Hungary
2020-03-31 22:33:29.616347- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Indonesia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Indonesia
2020-03-31 22:33:30.208886- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Isle of Man'), kwargs: {}, result: https://en.wikipedia.org/wiki/Isle_of_Man
2020-03-31 22:33:30.817547- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'India'), kwargs: {}, result: https://en.wikipedia.org/wiki/India
